task_id,split,goal,method,model,provider,success_gt,success_llm,stop_reason,total_steps,llm_calls,det_steps,savings_pct,tools_required,tools_called,input_tokens,output_tokens,cost_usd,wall_time_s,error
G1_000,G1,I'm working on a logistics project for my company and need to check the health o,dead_reckoning,anthropic/claude-opus-4.6,openrouter,True,True,task_complete,2,2,0,50.0,2,2,667,139,0.0,8.91,
G1_000,G1,I'm working on a logistics project for my company and need to check the health o,react,anthropic/claude-opus-4.6,openrouter,True,True,task_complete,2,3,-1,0.0,2,2,890,119,0.0,8.31,
G1_001,G1,"As a sustainability enthusiast, I'm interested in exploring the projects availab",dead_reckoning,anthropic/claude-opus-4.6,openrouter,True,True,task_complete,2,2,0,50.0,2,2,667,141,0.0,8.05,
G1_001,G1,"As a sustainability enthusiast, I'm interested in exploring the projects availab",react,anthropic/claude-opus-4.6,openrouter,True,True,task_complete,2,3,-1,0.0,2,2,884,143,0.0,10.98,
G1_002,G1,I'm organizing a sustainability event for my community and would like to showcas,dead_reckoning,anthropic/claude-opus-4.6,openrouter,True,True,task_complete,2,2,0,50.0,2,2,687,147,0.0,5.81,
G1_002,G1,I'm organizing a sustainability event for my community and would like to showcas,react,anthropic/claude-opus-4.6,openrouter,True,True,task_complete,2,3,-1,0.0,2,2,930,139,0.0,10.78,
G1_003,G1,My friend and I are passionate about sustainability and want to contribute to pr,dead_reckoning,anthropic/claude-opus-4.6,openrouter,True,True,task_complete,2,2,0,50.0,2,2,681,145,0.0,5.66,
G1_003,G1,My friend and I are passionate about sustainability and want to contribute to pr,react,anthropic/claude-opus-4.6,openrouter,True,True,task_complete,2,3,-1,0.0,2,2,912,137,0.0,8.09,
G1_004,G1,I need to track a package sent through Correo Argentino. The tracking code is 'A,dead_reckoning,anthropic/claude-opus-4.6,openrouter,False,True,task_complete,2,3,-1,0.0,10,2,1234,292,0.0,9.01,
G1_004,G1,I need to track a package sent through Correo Argentino. The tracking code is 'A,react,anthropic/claude-opus-4.6,openrouter,False,True,task_complete,1,2,-1,0.0,10,1,739,190,0.0,8.06,
G2_000,G2,I'm starting an e-commerce business and I need to integrate a package tracking f,dead_reckoning,anthropic/claude-opus-4.6,openrouter,False,True,task_complete,2,2,0,50.0,7,2,769,197,0.0,10.86,
G2_000,G2,I'm starting an e-commerce business and I need to integrate a package tracking f,react,anthropic/claude-opus-4.6,openrouter,False,True,task_complete,2,3,-1,0.0,7,2,1070,195,0.0,9.99,
G2_001,G2,I'm planning a trip to Istanbul and I need to know the postal codes for differen,dead_reckoning,anthropic/claude-opus-4.6,openrouter,False,True,task_complete,2,2,0,50.0,7,2,739,207,0.0,6.61,
G2_001,G2,I'm planning a trip to Istanbul and I need to know the postal codes for differen,react,anthropic/claude-opus-4.6,openrouter,False,True,task_complete,2,3,-1,0.0,7,2,996,215,0.0,11.4,
G2_002,G2,I'm planning a trip to Buenos Aires and I need to know the postal codes for diff,dead_reckoning,anthropic/claude-opus-4.6,openrouter,False,True,task_complete,2,2,0,50.0,7,2,749,220,0.0,5.99,
G2_002,G2,I'm planning a trip to Buenos Aires and I need to know the postal codes for diff,react,anthropic/claude-opus-4.6,openrouter,False,True,task_complete,2,3,-1,0.0,7,2,1040,230,0.0,11.16,
G3_000,G3,I'm planning a surprise birthday party for my best friend. Can you help me find ,dead_reckoning,anthropic/claude-opus-4.6,openrouter,False,True,task_complete,5,3,2,60.0,11,3,1279,376,0.0,18.56,
G3_000,G3,I'm planning a surprise birthday party for my best friend. Can you help me find ,react,anthropic/claude-opus-4.6,openrouter,False,True,task_complete,3,4,-1,0.0,11,3,1574,292,0.0,12.75,
G3_001,G3,I'm a food enthusiast and I want to explore different cuisines. Can you suggest ,dead_reckoning,anthropic/claude-opus-4.6,openrouter,False,True,task_complete,5,3,2,60.0,11,4,1290,429,0.0,14.04,
G3_001,G3,I'm a food enthusiast and I want to explore different cuisines. Can you suggest ,react,anthropic/claude-opus-4.6,openrouter,False,True,task_complete,4,5,-1,0.0,11,4,2115,358,0.0,16.25,
