task_id,split,goal,method,model,success_gt,success_llm,stop_reason,total_steps,llm_calls,savings_pct,tools_required,tools_called,input_tokens,output_tokens,cost_usd,duration_s,error
G1_000,G1,I'm working on a logistics project for my company and need to check the health of the SQUAKE API. Ca,dead_reckoning,claude-haiku-4-5,True,True,task_complete,2,2,50.0,2,2,20,2283,0.0,25.33,
G1_000,G1,I'm working on a logistics project for my company and need to check the health of the SQUAKE API. Ca,react,claude-haiku-4-5,True,True,task_complete,2,3,0.0,2,2,30,1256,0.0,16.35,
G1_001,G1,"As a sustainability enthusiast, I'm interested in exploring the projects available on the SQUAKE pla",dead_reckoning,claude-haiku-4-5,True,True,task_complete,2,2,50.0,2,2,20,1649,0.0,17.9,
G1_001,G1,"As a sustainability enthusiast, I'm interested in exploring the projects available on the SQUAKE pla",react,claude-haiku-4-5,True,True,task_complete,2,3,0.0,2,2,30,987,0.0,13.8,
G1_002,G1,I'm organizing a sustainability event for my community and would like to showcase various projects p,dead_reckoning,claude-haiku-4-5,True,True,task_complete,2,2,50.0,2,2,20,2440,0.0,23.39,
G1_002,G1,I'm organizing a sustainability event for my community and would like to showcase various projects p,react,claude-haiku-4-5,False,True,task_complete,1,2,0.0,2,1,20,1282,0.0,15.61,
G1_003,G1,My friend and I are passionate about sustainability and want to contribute to projects that promote ,dead_reckoning,claude-haiku-4-5,True,True,task_complete,2,2,50.0,2,2,20,2105,0.0,22.28,
G1_003,G1,My friend and I are passionate about sustainability and want to contribute to projects that promote ,react,claude-haiku-4-5,True,True,task_complete,2,3,0.0,2,2,30,1366,0.0,16.63,
G1_004,G1,I need to track a package sent through Correo Argentino. The tracking code is 'ABC123'. Please creat,dead_reckoning,claude-haiku-4-5,False,True,task_complete,2,2,50.0,10,2,20,2314,0.0,21.18,
G1_004,G1,I need to track a package sent through Correo Argentino. The tracking code is 'ABC123'. Please creat,react,claude-haiku-4-5,False,True,task_complete,1,2,0.0,10,1,20,857,0.0,10.66,
G2_000,G2,I'm starting an e-commerce business and I need to integrate a package tracking feature. Can you prov,dead_reckoning,claude-haiku-4-5,False,True,task_complete,3,2,66.66666666666666,7,3,20,2806,0.0,27.0,
G2_000,G2,I'm starting an e-commerce business and I need to integrate a package tracking feature. Can you prov,react,claude-haiku-4-5,False,True,task_complete,2,3,0.0,7,2,30,1450,0.0,16.72,
G2_001,G2,I'm planning a trip to Istanbul and I need to know the postal codes for different districts. Can you,dead_reckoning,claude-haiku-4-5,False,True,task_complete,3,2,66.66666666666666,7,3,20,1922,0.0,21.27,
G2_001,G2,I'm planning a trip to Istanbul and I need to know the postal codes for different districts. Can you,react,claude-haiku-4-5,False,True,task_complete,2,3,0.0,7,2,30,2026,0.0,23.23,
G2_002,G2,I'm planning a trip to Buenos Aires and I need to know the postal codes for different districts. Can,dead_reckoning,claude-haiku-4-5,False,True,task_complete,3,2,66.66666666666666,7,3,20,3544,0.0,31.48,
G2_002,G2,I'm planning a trip to Buenos Aires and I need to know the postal codes for different districts. Can,react,claude-haiku-4-5,False,True,task_complete,2,3,0.0,7,2,30,1832,0.0,19.15,
G3_000,G3,I'm planning a surprise birthday party for my best friend. Can you help me find a list of popular co,dead_reckoning,claude-haiku-4-5,False,True,task_complete,3,2,66.66666666666666,11,3,20,1350,0.0,14.95,
G3_000,G3,I'm planning a surprise birthday party for my best friend. Can you help me find a list of popular co,react,claude-haiku-4-5,False,True,task_complete,4,5,0.0,11,3,50,3234,0.0,36.27,
G3_001,G3,I'm a food enthusiast and I want to explore different cuisines. Can you suggest some popular cocktai,dead_reckoning,claude-haiku-4-5,False,True,task_complete,13,5,69.23076923076923,11,4,50,13407,0.0,125.7,
G3_001,G3,I'm a food enthusiast and I want to explore different cuisines. Can you suggest some popular cocktai,react,claude-haiku-4-5,False,True,task_complete,7,8,0.0,11,4,80,11648,0.0,113.76,
