task_id,split,goal,method,model,success,stop_reason,total_steps,llm_calls,savings_pct,input_tokens,output_tokens,duration_s,error
task_000,I1,Search for hotels in Paris for 2 adults from Dec 10-15,dead_reckoning,claude-haiku-4-5,True,task_complete,7,3,71.42857142857143,1077,417,4.34,
task_000,I1,Search for hotels in Paris for 2 adults from Dec 10-15,react,claude-haiku-4-5,True,task_complete,2,3,0.0,1657,453,4.59,
task_001,I1,Get current weather for Tokyo and convert temperature to Fahrenheit,dead_reckoning,claude-haiku-4-5,True,task_complete,3,2,66.66666666666666,684,196,2.53,
task_001,I1,Get current weather for Tokyo and convert temperature to Fahrenheit,react,claude-haiku-4-5,True,task_complete,3,4,0.0,1974,407,4.19,
task_002,I1,Find the top 5 trending movies this week,dead_reckoning,claude-haiku-4-5,True,task_complete,3,2,66.66666666666666,667,193,2.3,
task_002,I1,Find the top 5 trending movies this week,react,claude-haiku-4-5,True,task_complete,1,2,0.0,690,219,2.62,
task_003,I2,Book a flight from NYC to London and find nearby hotels,dead_reckoning,claude-haiku-4-5,True,task_complete,7,3,71.42857142857143,1012,343,4.22,
task_003,I2,Book a flight from NYC to London and find nearby hotels,react,claude-haiku-4-5,True,task_complete,7,8,0.0,6685,819,9.72,
task_004,I2,Find a restaurant near the Eiffel Tower with outdoor seating,dead_reckoning,claude-haiku-4-5,True,task_complete,7,3,71.42857142857143,1073,426,3.99,
task_004,I2,Find a restaurant near the Eiffel Tower with outdoor seating,react,claude-haiku-4-5,True,task_complete,3,4,0.0,2045,342,3.63,
task_005,I3,"Plan a weekend trip: flights, hotel, restaurants, and weather",dead_reckoning,claude-haiku-4-5,True,task_complete,10,4,70.0,1497,627,6.82,
task_005,I3,"Plan a weekend trip: flights, hotel, restaurants, and weather",react,claude-haiku-4-5,True,task_complete,10,11,0.0,14073,1555,19.77,
task_006,I1,Search for hotels in Paris for 2 adults from Dec 10-15,dead_reckoning,claude-haiku-4-5,True,task_complete,7,3,71.42857142857143,1080,486,4.61,
task_006,I1,Search for hotels in Paris for 2 adults from Dec 10-15,react,claude-haiku-4-5,True,task_complete,4,5,0.0,3478,554,5.72,
task_007,I1,Get current weather for Tokyo and convert temperature to Fahrenheit,dead_reckoning,claude-haiku-4-5,True,task_complete,3,2,66.66666666666666,686,216,2.49,
task_007,I1,Get current weather for Tokyo and convert temperature to Fahrenheit,react,claude-haiku-4-5,True,task_complete,3,4,0.0,1905,304,4.09,
task_008,I1,Find the top 5 trending movies this week,dead_reckoning,claude-haiku-4-5,True,task_complete,3,2,66.66666666666666,667,207,2.32,
task_008,I1,Find the top 5 trending movies this week,react,claude-haiku-4-5,True,task_complete,1,2,0.0,688,201,2.69,
task_009,I2,Book a flight from NYC to London and find nearby hotels,dead_reckoning,claude-haiku-4-5,False,max_steps,20,6,70.0,2059,788,8.55,
task_009,I2,Book a flight from NYC to London and find nearby hotels,react,claude-haiku-4-5,True,task_complete,4,5,0.0,2902,501,6.33,
