task_id,split,goal,method,model,success_gt,success_llm,stop_reason,total_steps,llm_calls,savings_pct,tools_required,tools_called,input_tokens,output_tokens,duration_s,error
G1_000,G1,I'm working on a logistics project for my company and need to check the health of the SQUAKE API. Ca,dead_reckoning,claude-haiku-4-5,True,True,task_complete,2,2,50.0,2,2,579,185,2.32,
G1_000,G1,I'm working on a logistics project for my company and need to check the health of the SQUAKE API. Ca,react,claude-haiku-4-5,True,True,task_complete,2,3,0.0,2,2,1331,232,2.62,
G1_001,G1,"As a sustainability enthusiast, I'm interested in exploring the projects available on the SQUAKE pla",dead_reckoning,claude-haiku-4-5,True,True,task_complete,2,2,50.0,2,2,579,175,2.16,
G1_001,G1,"As a sustainability enthusiast, I'm interested in exploring the projects available on the SQUAKE pla",react,claude-haiku-4-5,True,True,task_complete,2,3,0.0,2,2,1317,220,2.77,
G1_002,G1,I'm organizing a sustainability event for my community and would like to showcase various projects p,dead_reckoning,claude-haiku-4-5,True,True,task_complete,3,2,66.66666666666666,2,2,600,199,2.98,
G1_002,G1,I'm organizing a sustainability event for my community and would like to showcase various projects p,react,claude-haiku-4-5,True,True,task_complete,2,3,0.0,2,2,1339,187,2.56,
G1_003,G1,My friend and I are passionate about sustainability and want to contribute to projects that promote ,dead_reckoning,claude-haiku-4-5,True,True,task_complete,2,2,50.0,2,2,593,183,3.18,
G1_003,G1,My friend and I are passionate about sustainability and want to contribute to projects that promote ,react,claude-haiku-4-5,True,True,task_complete,2,3,0.0,2,2,1375,232,2.97,
G1_004,G1,I need to track a package sent through Correo Argentino. The tracking code is 'ABC123'. Please creat,dead_reckoning,claude-haiku-4-5,False,True,task_complete,2,2,50.0,10,2,743,273,3.89,
G1_004,G1,I need to track a package sent through Correo Argentino. The tracking code is 'ABC123'. Please creat,react,claude-haiku-4-5,False,True,task_complete,1,2,0.0,10,1,867,232,2.34,
G2_000,G2,I'm starting an e-commerce business and I need to integrate a package tracking feature. Can you prov,dead_reckoning,claude-haiku-4-5,False,True,task_complete,2,2,50.0,7,2,687,218,2.79,
G2_000,G2,I'm starting an e-commerce business and I need to integrate a package tracking feature. Can you prov,react,claude-haiku-4-5,False,True,task_complete,2,3,0.0,7,2,1575,273,4.36,
G2_001,G2,I'm planning a trip to Istanbul and I need to know the postal codes for different districts. Can you,dead_reckoning,claude-haiku-4-5,False,True,task_complete,3,2,66.66666666666666,7,3,660,269,2.62,
G2_001,G2,I'm planning a trip to Istanbul and I need to know the postal codes for different districts. Can you,react,claude-haiku-4-5,False,True,task_complete,2,3,0.0,7,2,1729,483,11.95,
G2_002,G2,I'm planning a trip to Buenos Aires and I need to know the postal codes for different districts. Can,dead_reckoning,claude-haiku-4-5,False,True,task_complete,3,2,66.66666666666666,7,3,671,245,2.66,
G2_002,G2,I'm planning a trip to Buenos Aires and I need to know the postal codes for different districts. Can,react,claude-haiku-4-5,False,True,task_complete,2,3,0.0,7,2,1520,349,3.42,
G3_000,G3,I'm planning a surprise birthday party for my best friend. Can you help me find a list of popular co,dead_reckoning,claude-haiku-4-5,False,True,task_complete,3,2,66.66666666666666,11,3,743,227,3.28,
G3_000,G3,I'm planning a surprise birthday party for my best friend. Can you help me find a list of popular co,react,claude-haiku-4-5,False,True,task_complete,2,3,0.0,11,2,1626,301,3.88,
G3_001,G3,I'm a food enthusiast and I want to explore different cuisines. Can you suggest some popular cocktai,dead_reckoning,claude-haiku-4-5,False,False,max_steps,20,7,65.0,11,5,2777,992,11.59,
G3_001,G3,I'm a food enthusiast and I want to explore different cuisines. Can you suggest some popular cocktai,react,claude-haiku-4-5,False,True,task_complete,5,6,0.0,11,4,4743,497,6.78,
