task_id,split,goal,method,model,success_gt,success_llm,stop_reason,total_steps,llm_calls,savings_pct,tools_required,tools_called,input_tokens,output_tokens,duration_s,error
G1_000,G1,I'm working on a logistics project for my company and need to check the health of the SQUAKE API. Ca,dead_reckoning,claude-haiku-4-5,True,True,task_complete,2,2,50.0,2,2,609,192,2.58,
G1_000,G1,I'm working on a logistics project for my company and need to check the health of the SQUAKE API. Ca,react,claude-haiku-4-5,True,True,task_complete,2,3,0.0,2,2,1409,273,3.36,
G1_001,G1,"As a sustainability enthusiast, I'm interested in exploring the projects available on the SQUAKE pla",dead_reckoning,claude-haiku-4-5,True,True,task_complete,3,2,66.66666666666666,2,2,613,237,2.58,
G1_001,G1,"As a sustainability enthusiast, I'm interested in exploring the projects available on the SQUAKE pla",react,claude-haiku-4-5,True,True,task_complete,2,3,0.0,2,2,1383,273,2.98,
G1_002,G1,I'm organizing a sustainability event for my community and would like to showcase various projects p,dead_reckoning,claude-haiku-4-5,True,True,task_complete,3,2,66.66666666666666,2,2,633,251,2.3,
G1_002,G1,I'm organizing a sustainability event for my community and would like to showcase various projects p,react,claude-haiku-4-5,True,True,task_complete,2,3,0.0,2,2,1431,250,3.24,
G1_003,G1,My friend and I are passionate about sustainability and want to contribute to projects that promote ,dead_reckoning,claude-haiku-4-5,True,True,task_complete,3,2,66.66666666666666,2,2,627,231,3.08,
G1_003,G1,My friend and I are passionate about sustainability and want to contribute to projects that promote ,react,claude-haiku-4-5,True,True,task_complete,2,3,0.0,2,2,1447,294,3.68,
G1_004,G1,I need to track a package sent through Correo Argentino. The tracking code is 'ABC123'. Please creat,dead_reckoning,claude-haiku-4-5,False,True,task_complete,3,2,66.66666666666666,10,0,1498,313,3.09,
G1_004,G1,I need to track a package sent through Correo Argentino. The tracking code is 'ABC123'. Please creat,react,claude-haiku-4-5,False,False,max_steps,20,20,0.0,10,0,50081,1909,25.51,
G2_000,G2,I'm starting an e-commerce business and I need to integrate a package tracking feature. Can you prov,dead_reckoning,claude-haiku-4-5,False,True,task_complete,3,2,66.66666666666666,7,2,979,255,2.44,
G2_000,G2,I'm starting an e-commerce business and I need to integrate a package tracking feature. Can you prov,react,claude-haiku-4-5,False,True,task_complete,2,3,0.0,7,2,2050,305,4.83,
G2_001,G2,I'm planning a trip to Istanbul and I need to know the postal codes for different districts. Can you,dead_reckoning,claude-haiku-4-5,False,True,task_complete,9,4,66.66666666666666,7,3,1951,553,6.25,
G2_001,G2,I'm planning a trip to Istanbul and I need to know the postal codes for different districts. Can you,react,claude-haiku-4-5,False,True,task_complete,1,2,0.0,7,1,1128,284,2.79,
G2_002,G2,I'm planning a trip to Buenos Aires and I need to know the postal codes for different districts. Can,dead_reckoning,claude-haiku-4-5,False,False,max_steps,20,7,65.0,7,6,3457,1077,11.78,
G2_002,G2,I'm planning a trip to Buenos Aires and I need to know the postal codes for different districts. Can,react,claude-haiku-4-5,False,True,task_complete,3,4,0.0,7,3,3659,795,9.6,
G3_000,G3,I'm planning a surprise birthday party for my best friend. Can you help me find a list of popular co,dead_reckoning,claude-haiku-4-5,False,True,task_complete,3,2,66.66666666666666,11,3,1082,257,2.72,
G3_000,G3,I'm planning a surprise birthday party for my best friend. Can you help me find a list of popular co,react,claude-haiku-4-5,False,True,task_complete,3,4,0.0,11,3,3098,372,4.93,
G3_001,G3,I'm a food enthusiast and I want to explore different cuisines. Can you suggest some popular cocktai,dead_reckoning,claude-haiku-4-5,False,True,task_complete,4,2,75.0,11,4,1083,293,3.41,
G3_001,G3,I'm a food enthusiast and I want to explore different cuisines. Can you suggest some popular cocktai,react,claude-haiku-4-5,False,True,task_complete,3,4,0.0,11,3,3021,301,3.69,
