task_id,split,goal,method,model,success_gt,success_llm,stop_reason,total_steps,llm_calls,savings_pct,tools_required,tools_called,input_tokens,output_tokens,cost_usd,duration_s,error
G1_000,G1,I'm working on a logistics project for my company and need to check the health of the SQUAKE API. Ca,dead_reckoning,claude-haiku-4-5,False,False,no_predictions,2,2,0.0,2,1,36,2333,0.0,30.01,
G1_000,G1,I'm working on a logistics project for my company and need to check the health of the SQUAKE API. Ca,react,claude-haiku-4-5,True,True,task_complete,3,5,0.0,2,2,66,5765,0.0,67.3,
G1_001,G1,"As a sustainability enthusiast, I'm interested in exploring the projects available on the SQUAKE pla",dead_reckoning,claude-haiku-4-5,True,True,task_complete,2,2,50.0,2,2,28,1904,0.0,23.93,
G1_001,G1,"As a sustainability enthusiast, I'm interested in exploring the projects available on the SQUAKE pla",react,claude-haiku-4-5,True,False,max_steps,20,20,0.0,2,2,216,8838,0.0,129.27,
G1_002,G1,I'm organizing a sustainability event for my community and would like to showcase various projects p,dead_reckoning,claude-haiku-4-5,False,True,task_complete,0,2,0.0,2,0,36,2478,0.0,30.04,
G1_002,G1,I'm organizing a sustainability event for my community and would like to showcase various projects p,react,claude-haiku-4-5,True,False,max_steps,20,20,0.0,2,2,200,6046,0.0,95.24,
G1_003,G1,My friend and I are passionate about sustainability and want to contribute to projects that promote ,dead_reckoning,claude-haiku-4-5,True,True,task_complete,3,2,66.66666666666666,2,2,20,5800,0.0,53.2,
G1_003,G1,My friend and I are passionate about sustainability and want to contribute to projects that promote ,react,claude-haiku-4-5,True,False,max_steps,20,21,0.0,2,2,250,12156,0.0,162.09,
G1_004,G1,I need to track a package sent through Correo Argentino. The tracking code is 'ABC123'. Please creat,dead_reckoning,claude-haiku-4-5,False,True,task_complete,1,2,0.0,10,0,36,2322,0.0,23.86,
G1_004,G1,I need to track a package sent through Correo Argentino. The tracking code is 'ABC123'. Please creat,react,claude-haiku-4-5,False,True,task_complete,1,2,0.0,10,1,20,7026,0.0,62.75,
G2_000,G2,I'm starting an e-commerce business and I need to integrate a package tracking feature. Can you prov,dead_reckoning,claude-haiku-4-5,False,False,no_predictions,2,2,0.0,7,0,44,5130,0.0,48.89,
G2_000,G2,I'm starting an e-commerce business and I need to integrate a package tracking feature. Can you prov,react,claude-haiku-4-5,False,True,task_complete,5,6,0.0,7,1,116,7802,0.0,85.24,
G2_001,G2,I'm planning a trip to Istanbul and I need to know the postal codes for different districts. Can you,dead_reckoning,claude-haiku-4-5,False,False,max_steps,20,7,65.0,7,6,70,16389,0.0,148.3,
G2_001,G2,I'm planning a trip to Istanbul and I need to know the postal codes for different districts. Can you,react,claude-haiku-4-5,False,False,max_steps,20,20,0.0,7,3,200,10148,0.0,135.99,
G2_002,G2,I'm planning a trip to Buenos Aires and I need to know the postal codes for different districts. Can,dead_reckoning,claude-haiku-4-5,False,False,max_steps,20,7,65.0,7,6,102,15464,0.0,146.47,
G2_002,G2,I'm planning a trip to Buenos Aires and I need to know the postal codes for different districts. Can,react,claude-haiku-4-5,False,False,max_steps,20,20,0.0,7,4,200,13637,0.0,162.78,
G3_000,G3,I'm planning a surprise birthday party for my best friend. Can you help me find a list of popular co,dead_reckoning,claude-haiku-4-5,False,False,max_steps,20,8,60.0,11,3,88,11946,0.0,144.74,
G3_000,G3,I'm planning a surprise birthday party for my best friend. Can you help me find a list of popular co,react,claude-haiku-4-5,False,True,task_complete,11,12,0.0,11,3,120,9550,0.0,129.83,
G3_001,G3,I'm a food enthusiast and I want to explore different cuisines. Can you suggest some popular cocktai,dead_reckoning,claude-haiku-4-5,False,True,task_complete,4,3,75.0,11,4,20,3898,0.0,96.88,
G3_001,G3,I'm a food enthusiast and I want to explore different cuisines. Can you suggest some popular cocktai,react,claude-haiku-4-5,False,True,task_complete,11,12,0.0,11,4,128,9765,0.0,114.36,
